id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,main_artist
3NH2FJUSV3HGXZRtOc3Uwj,Tangerine - Remaster,43,191828,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],10/5/70,0.306,0.39799999999999996,6,-12.767,1,0.0412,0.0857,6.02e-05,0.0756,0.0948,85.62200000000001,4,Zeppelin
01pTpvBghy8H9l7IGWOq5r,Driving Through Kashmir - Kashmir Rough Orchestra Mix,30,521107,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],2/24/75,0.473,0.588,2,-10.407,1,0.0455,0.396,0.000169,0.157,0.629,81.317,3,Zeppelin
7kMMTfdIkDJpmrkxBlVwEf,Black Country Woman - 1993 Remaster,45,264400,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],2/24/75,0.755,0.746,7,-12.149,1,0.0602,0.586,4.07e-05,0.359,0.614,127.677,4,Zeppelin
0OVVOCs6vK5cNl0x9AEpHr,Crew Love,43,208813,1,"['Drake', 'The Weeknd']","['3TVXtAsR1Inumwj472S9r4', '1Xyo4u8uXC1ZmMpatF05PJ']",11/15/11,0.418,0.546,0,-9.057,0,0.23800000000000002,0.22699999999999998,0,0.22899999999999998,0.294,160.15200000000002,4,Drake
717TY4sfgKQm4kFbYQIzgo,Toxic,58,198813,0,['Britney Spears'],['26dSoYclwsYLMAKD3tpOr4'],2004,0.774,0.847,5,-3.925,0,0.121,0.0279,0.0183,0.24100000000000002,0.9229999999999999,143.011,4,Britney
4UbfGyhLsp4blVMSX49mWD,Darlene - Remaster,32,306680,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],11/19/82,0.39,0.9079999999999999,0,-7.782,1,0.0894,0.324,0.000806,0.31,0.64,169.172,4,Zeppelin
3SeGamJ7Wnazlhe8ukbY86,Tea for One - 1993 Remaster,36,566867,1,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],3/31/76,0.542,0.494,7,-12.157,0,0.0413,0.0419,0.0324,0.0949,0.374,122.266,3,Zeppelin
6vN77lE9LK6HP2DewaN6HZ,Yes Indeed,80,142273,1,"['Lil Baby', 'Drake']","['5f7VJjfbwm532GiveGC0ZK', '3TVXtAsR1Inumwj472S9r4']",5/18/18,0.963,0.34600000000000003,5,-9.309,0,0.53,0.0355,0,0.10800000000000001,0.562,119.95700000000001,4,Drake
2YaDRtIlQiZ5WDDB2YuEOC,You & The 6,58,264907,1,['Drake'],['3TVXtAsR1Inumwj472S9r4'],2/12/15,0.545,0.47600000000000003,7,-7.444,0,0.284,0.168,0,0.13,0.223,154.362,4,Drake
1XFsWUKEQL3uluXGQBnNFE,Friends - 1990 Remaster,34,234440,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],10/5/70,0.252,0.449,7,-13.244,1,0.0395,0.5579999999999999,0.158,0.37799999999999995,0.275,172.321,3,Zeppelin
